,Type,Viewership Score,Days In Top 10
2010,TV Show,99,10
2011,Movie,111,12
2012,Movie,23,3
2013,TV Show,134,17
2014,Movie,31,5
2015,Movie,15,3
2016,TV Show,99,16
2017,TV Show,56,15
2018,TV Show,2,1
2019,TV Show,74,37
2020,TV Show,109,11
2021,TV Show,167,23
2022,Movie,119,13
2023,TV Show,141,18
2024,Movie,29,4
2025,TV Show,104,17
2026,Movie,35,6
2027,TV Show,77,38
2028,TV Show,58,16
2029,TV Show,3,2
2030,TV Show,177,24
2031,TV Show,118,12
2032,TV Show,149,19
2033,Movie,126,14
2034,TV Show,110,18
2035,TV Show,82,39
2036,TV Show,62,17
2037,Movie,32,5
2038,Movie,2,1
2039,TV Show,1,1
2040,TV Show,187,25
2041,TV Show,127,13
2042,Movie,8,1
2043,TV Show,7,1
2044,TV Show,155,20
2045,Movie,7,2
2046,Movie,130,15
2047,TV Show,4,2
2048,TV Show,112,19
2049,TV Show,83,40
2050,TV Show,197,26
2051,TV Show,136,14
2052,Movie,16,2
2053,TV Show,14,2
2054,TV Show,10,3
2055,Movie,5,1
2056,Movie,11,3
2057,TV Show,86,41
2058,TV Show,157,21
2059,TV Show,113,20
2060,TV Show,207,27
2061,TV Show,23,3
2062,Movie,8,1
2063,TV Show,143,15
2064,Movie,22,3
2065,TV Show,5,1
2066,Movie,9,2
2067,TV Show,20,7
2068,TV Show,12,4
2069,TV Show,1,1
2070,TV Show,11,2
2071,TV Show,216,28
2072,Movie,16,2
2073,TV Show,30,4
2074,TV Show,11,2
2075,Movie,27,4
2076,TV Show,147,16
2077,TV Show,15,5
2078,Movie,132,16
2079,Movie,10,3
2080,TV Show,21,3
2081,Movie,25,3
2082,TV Show,19,3
2083,TV Show,223,29
2084,TV Show,36,5
2085,TV Show,152,17
2086,Movie,31,5
2087,TV Show,18,6
2088,Movie,134,17
2089,Movie,11,4
2090,TV Show,31,4
2091,TV Show,28,4
2092,Movie,33,4
2093,TV Show,230,30
2094,TV Show,158,18
2095,TV Show,41,6
2096,TV Show,22,7
2097,TV Show,89,42
2098,Movie,33,6
2099,TV Show,114,21
2100,TV Show,41,5
2101,TV Show,37,5
2102,Movie,41,5
2103,TV Show,7,1
2104,TV Show,236,31
2105,TV Show,163,19
2106,TV Show,26,8
2107,TV Show,44,7
2108,TV Show,91,43
2109,TV Show,115,22
2110,Movie,10,1
2111,TV Show,50,6
2112,TV Show,15,2
2113,TV Show,44,6
2114,Movie,47,6
2115,TV Show,168,20
2116,TV Show,30,9
2117,TV Show,239,32
2118,TV Show,93,44
2119,TV Show,45,8
2120,Movie,20,2
2121,TV Show,59,7
2122,TV Show,23,3
2123,TV Show,51,7
2124,Movie,53,7
2125,Movie,5,1
2126,TV Show,34,10
2127,TV Show,171,21
2128,TV Show,241,33
2129,TV Show,94,45
2130,Movie,30,3
2131,TV Show,68,8
2132,TV Show,28,8
2133,Movie,60,8
2134,TV Show,29,4
2135,Movie,10,2
2136,TV Show,55,8
2137,Movie,3,1
2138,TV Show,173,22
2139,Movie,1,1
2140,Movie,40,4
2141,TV Show,77,9
2142,Movie,11,2
2143,Movie,8,2
2144,Movie,140,18
2145,Movie,15,3
2146,Movie,64,9
2147,TV Show,176,23
2148,TV Show,31,5
2149,TV Show,56,9
2150,Movie,50,5
2151,TV Show,86,10
2152,Movie,19,3
2153,Movie,15,3
2154,Movie,21,4
2155,Movie,69,10
2156,TV Show,180,24
2157,TV Show,59,10
2158,TV Show,33,6
2159,Movie,141,19
2160,TV Show,96,11
2161,Movie,59,6
2162,Movie,8,1
2163,Movie,26,4
2164,TV Show,100,46
2165,Movie,74,11
2166,Movie,19,4
2167,TV Show,183,25
2168,TV Show,36,11
2169,Movie,22,5
2170,TV Show,106,12
2171,Movie,68,7
2172,Movie,16,2
2173,Movie,33,5
2174,TV Show,106,47
2175,Movie,79,12
2176,Movie,4,1
2177,Movie,3,1
2178,TV Show,38,12
2179,TV Show,184,26
2180,TV Show,116,13
2181,Movie,25,3
2182,Movie,12,2
2183,Movie,75,8
2184,Movie,6,1
2185,Movie,8,2
2186,TV Show,110,48
2187,TV Show,3,1
2188,Movie,35,6
2189,Movie,80,13
2190,TV Show,126,14
2191,Movie,9,1
2192,Movie,20,3
2193,Movie,32,4
2194,Movie,81,9
2195,TV Show,8,2
2196,Movie,10,2
2197,TV Show,113,49
2198,Movie,10,3
2199,Movie,1,1
2200,TV Show,136,15
2201,Movie,18,2
2202,Movie,9,2
2203,Movie,27,4
2204,Movie,38,5
2205,TV Show,33,9
2206,TV Show,12,3
2207,Movie,13,3
2208,Movie,83,10
2209,TV Show,114,50
2210,TV Show,146,16
2211,Movie,27,3
2212,Movie,17,3
2213,Movie,45,6
2214,Movie,33,5
2215,TV Show,38,10
2216,TV Show,16,4
2217,Movie,86,11
2218,Movie,15,4
2219,Movie,1,1
2220,TV Show,156,17
2221,Movie,26,4
2222,Movie,35,4
2223,Movie,40,6
2224,Movie,51,7
2225,TV Show,21,5
2226,Movie,90,12
2227,Movie,18,5
2228,Movie,3,2
2229,TV Show,115,51
2230,TV Show,166,18
2231,Movie,35,5
2232,TV Show,29,6
2233,Movie,42,5
2234,Movie,46,7
2235,TV Show,120,52
2236,Movie,55,8
2237,Movie,21,6
2238,Movie,5,3
2239,Movie,91,13
2240,TV Show,176,19
2241,Movie,44,6
2242,TV Show,37,7
2243,Movie,53,8
2244,TV Show,6,1
2245,Movie,47,6
2246,TV Show,124,53
2247,Movie,58,9
2248,Movie,2,1
2249,TV Show,1,1
2250,TV Show,186,20
2251,TV Show,15,2
2252,Movie,52,7
2253,TV Show,44,8
2254,Movie,59,9
2255,TV Show,5,1
2256,TV Show,128,54
2257,Movie,50,7
2258,Movie,4,2
2259,TV Show,2,2
2260,TV Show,196,21
2261,TV Show,24,3
2262,TV Show,13,2
2263,Movie,59,8
2264,TV Show,50,9
2265,TV Show,5,1
2266,TV Show,132,55
2267,Movie,62,10
2268,Movie,6,3
2269,TV Show,3,3
2270,TV Show,206,22
2271,TV Show,33,4
2272,TV Show,21,3
2273,Movie,66,9
2274,TV Show,56,10
2275,TV Show,10,2
2276,TV Show,136,56
2277,Movie,65,11
2278,Movie,8,4
2279,TV Show,4,4
2280,TV Show,216,23
2281,Movie,9,1
2282,TV Show,29,4
2283,Movie,73,10
2284,TV Show,6,1
2285,Movie,13,5
2286,TV Show,37,5
2287,TV Show,41,11
2288,Movie,2,1
2289,TV Show,57,11
2290,TV Show,10,1
2291,TV Show,225,24
2292,Movie,17,2
2293,Movie,20,6
2294,TV Show,35,5
2295,TV Show,11,2
2296,Movie,6,2
2297,Movie,76,11
2298,TV Show,138,57
2299,TV Show,38,6
2300,TV Show,20,2
2301,TV Show,234,25
2302,Movie,8,1
2303,Movie,24,3
2304,Movie,26,7
2305,TV Show,143,58
2306,TV Show,15,3
2307,TV Show,38,6
2308,Movie,2,1
2309,TV Show,39,7
2310,TV Show,30,3
2311,Stand-Up Comedy,9,1
2312,TV Show,242,26
2313,Movie,15,2
2314,TV Show,20,6
2315,Movie,29,4
2316,TV Show,147,59
2317,Movie,29,8
2318,Movie,4,2
2319,TV Show,16,4
2320,TV Show,40,4
2321,Stand-Up Comedy,18,2
2322,TV Show,250,27
2323,Movie,22,3
2324,TV Show,26,7
2325,TV Show,5,1
2326,TV Show,151,60
2327,Movie,32,9
2328,Movie,31,5
2329,TV Show,17,5
2330,TV Show,50,5
2331,Movie,9,1
2332,Stand-Up Comedy,26,3
2333,TV Show,257,28
2334,Movie,28,4
2335,TV Show,31,8
2336,TV Show,9,2
2337,TV Show,154,61
2338,Movie,34,10
2339,Movie,32,6
2340,TV Show,60,6
2341,Movie,18,2
2342,Stand-Up Comedy,34,4
2343,TV Show,264,29
2344,Movie,34,5
2345,TV Show,46,12
2346,TV Show,35,9
2347,Movie,37,11
2348,TV Show,156,62
2349,TV Show,10,3
2350,TV Show,70,7
2351,Stand-Up Comedy,43,5
2352,Movie,26,3
2353,TV Show,271,30
2354,Movie,40,6
2355,Movie,42,12
2356,TV Show,39,10
2357,TV Show,49,13
2358,TV Show,12,4
2359,Movie,33,7
2360,TV Show,80,8
2361,Stand-Up Comedy,52,6
2362,TV Show,279,31
2363,Movie,33,4
2364,Movie,46,7
2365,Movie,47,13
2366,TV Show,43,11
2367,Movie,3,1
2368,TV Show,14,5
2369,Movie,34,8
2370,TV Show,90,9
2371,TV Show,288,32
2372,Stand-Up Comedy,60,7
2373,Movie,40,5
2374,Movie,52,8
2375,TV Show,48,12
2376,Movie,51,14
2377,Movie,3,1
2378,TV Show,16,6
2379,TV Show,157,63
2380,Movie,10,1
2381,TV Show,99,10
2382,TV Show,296,33
2383,Movie,7,1
2384,Stand-Up Comedy,66,8
2385,Movie,56,15
2386,Movie,56,9
2387,TV Show,51,13
2388,Movie,42,6
2389,Movie,4,2
2390,Movie,10,1
2391,Movie,19,2
2392,TV Show,107,11
2393,TV Show,303,34
2394,Movie,13,2
2395,Movie,61,16
2396,Stand-Up Comedy,70,9
2397,TV Show,54,14
2398,Movie,58,10
2399,Movie,1,1
2400,Movie,20,2
2401,Movie,28,3
2402,Movie,21,3
2403,TV Show,310,35
2404,TV Show,113,12
2405,Movie,66,17
2406,Movie,5,2
2407,Stand-Up Comedy,73,10
2408,Movie,2,1
2409,TV Show,55,15
2410,Movie,30,3
2411,TV Show,9,1
2412,Movie,36,4
2413,TV Show,317,36
2414,TV Show,119,13
2415,Movie,26,4
2416,Movie,70,18
2417,TV Show,52,14
2418,Movie,7,3
2419,Movie,1,1
2420,TV Show,19,2
2421,Movie,39,4
2422,TV Show,325,37
2423,Movie,43,5
2424,TV Show,125,14
2425,Movie,75,19
2426,Movie,5,2
2427,Movie,10,4
2428,Movie,28,5
2429,Movie,3,2
2430,TV Show,29,3
2431,Movie,48,5
2432,TV Show,333,38
2433,TV Show,132,15
2434,Movie,11,3
2435,Movie,48,6
2436,Movie,79,20
2437,Movie,31,6
2438,Movie,12,5
2439,Movie,4,3
2440,TV Show,39,4
2441,Movie,57,6
2442,Movie,8,1
2443,TV Show,340,39
2444,TV Show,138,16
2445,Movie,84,21
2446,Movie,52,7
2447,Movie,14,4
2448,Movie,6,4
2449,TV Show,158,64
2450,TV Show,49,5
2451,Movie,17,2
2452,Movie,65,7
2453,TV Show,347,40
2454,TV Show,144,17
2455,Movie,5,1
2456,Movie,88,22
2457,Movie,9,5
2458,TV Show,160,65
2459,Movie,1,1
2460,TV Show,59,6
2461,Movie,14,2
2462,Movie,25,3
2463,Movie,8,2
2464,TV Show,353,41
2465,Movie,70,8
2466,TV Show,148,18
2467,TV Show,3,1
2468,Movie,90,23
2469,TV Show,161,66
2470,TV Show,69,7
2471,Movie,23,3
2472,Movie,8,1
2473,TV Show,10,2
2474,TV Show,359,42
2475,Movie,95,24
2476,TV Show,152,19
2477,Movie,73,9
2478,Movie,10,3
2479,Movie,26,4
2480,TV Show,10,1
2481,TV Show,9,1
2482,TV Show,77,8
2483,Movie,30,4
2484,Movie,14,2
2485,TV Show,364,43
2486,Movie,77,10
2487,TV Show,13,3
2488,TV Show,154,20
2489,Movie,10,6
2490,TV Show,20,2
2491,TV Show,18,2
2492,TV Show,85,9
2493,Movie,37,5
2494,Movie,20,3
2495,Movie,82,11
2496,Movie,14,7
2497,TV Show,367,44
2498,TV Show,15,4
2499,TV Show,155,21
2500,TV Show,30,3
2501,TV Show,27,3
2502,TV Show,93,10
2503,Movie,44,6
2504,Movie,26,4
2505,Movie,87,12
2506,TV Show,371,45
2507,Movie,17,8
2508,TV Show,17,5
2509,TV Show,156,22
2510,TV Show,40,4
2511,TV Show,36,4
2512,TV Show,101,11
2513,Movie,51,7
2514,Movie,32,5
2515,TV Show,376,46
2516,Movie,4,1
2517,Movie,20,9
2518,TV Show,163,67
2519,TV Show,157,23
2520,TV Show,50,5
2521,TV Show,45,5
2522,Movie,12,2
2523,TV Show,108,12
2524,Movie,6,1
2525,TV Show,381,47
2526,TV Show,167,68
2527,Movie,23,10
2528,Movie,53,8
2529,TV Show,158,24
2530,TV Show,60,6
2531,TV Show,54,6
2532,Movie,20,3
2533,Movie,13,2
2534,TV Show,114,13
2535,TV Show,5,1
2536,TV Show,385,48
2537,TV Show,170,69
2538,Movie,25,11
2539,TV Show,159,25
2540,Movie,30,4
2541,TV Show,69,7
2542,TV Show,62,7
2543,TV Show,12,2
2544,TV Show,120,14
2545,Movie,18,3
2546,TV Show,389,49
2547,TV Show,173,70
2548,Movie,27,12
2549,TV Show,160,26
2550,Movie,40,5
2551,TV Show,21,3
2552,TV Show,70,8
2553,TV Show,76,8
2554,Movie,6,1
2555,TV Show,125,15
2556,Movie,22,4
2557,Movie,30,13
2558,TV Show,391,50
2559,TV Show,174,71
2560,Movie,50,6
2561,Movie,15,2
2562,TV Show,29,4
2563,Movie,37,14
2564,Movie,28,5
2565,TV Show,81,9
2566,TV Show,74,9
2567,TV Show,128,16
2568,Movie,89,13
2569,TV Show,392,51
2570,Movie,60,7
2571,Movie,24,3
2572,TV Show,37,5
2573,Movie,44,15
2574,TV Show,134,17
2575,TV Show,79,10
2576,TV Show,85,10
2577,TV Show,395,52
2578,Movie,91,14
2579,Movie,29,6
2580,Movie,10,1
2581,TV Show,46,6
2582,Movie,68,8
2583,TV Show,86,11
2584,TV Show,140,18
2585,Movie,29,4
2586,Movie,48,16
2587,TV Show,177,72
2588,TV Show,397,53
2589,TV Show,86,11
2590,Movie,20,2
2591,TV Show,55,7
2592,TV Show,8,1
2593,Movie,75,9
2594,TV Show,146,19
2595,TV Show,91,12
2596,Movie,52,17
2597,TV Show,180,73
2598,TV Show,399,54
2599,Movie,30,5
2600,Movie,30,3
2601,TV Show,64,8
2602,TV Show,16,2
2603,Movie,82,10
2604,Movie,58,18
2605,TV Show,151,20
2606,TV Show,184,74
2607,TV Show,94,13
2608,TV Show,401,55
2609,TV Show,1,1
2610,Movie,40,4
2611,TV Show,25,3
2612,TV Show,72,9
2613,TV Show,8,2
2614,Movie,6,1
2615,Movie,63,19
2616,TV Show,188,75
2617,TV Show,154,21
2618,Movie,84,11
2619,TV Show,402,56
2620,Movie,10,1
2621,Movie,49,5
2622,TV Show,33,4
2623,TV Show,15,3
2624,Movie,69,20
2625,TV Show,77,10
2626,Movie,10,2
2627,TV Show,191,76
2628,TV Show,156,22
2629,TV Show,403,57
2630,Movie,20,2
2631,Movie,58,6
2632,Movie,77,21
2633,TV Show,22,4
2634,TV Show,39,5
2635,Movie,15,3
2636,TV Show,81,11
2637,TV Show,194,77
2638,Movie,93,15
2639,TV Show,404,58
2640,Movie,30,3
2641,Movie,86,22
2642,Movie,66,7
2643,TV Show,46,6
2644,Movie,21,4
2645,TV Show,27,5
2646,TV Show,85,12
2647,TV Show,197,78
2648,Movie,95,16
2649,TV Show,405,59
2650,Movie,96,23
2651,Concert/Perf…,9,1
2652,TV Show,54,7
2653,TV Show,204,79
2654,Movie,27,5
2655,TV Show,90,13
2656,Movie,34,4
2657,Movie,69,8
2658,TV Show,29,6
2659,TV Show,406,60
2660,Movie,10,1
2661,Movie,105,24
2662,TV Show,212,80
2663,TV Show,61,8
2664,Concert/Perf…,15,2
2665,TV Show,95,14
2666,TV Show,410,61
2667,Movie,98,17
2668,TV Show,2,1
2669,TV Show,30,7
2670,Movie,10,1
2671,Movie,19,2
2672,Movie,113,25
2673,TV Show,219,81
2674,Movie,104,18
2675,TV Show,66,9
2676,TV Show,99,15
2677,TV Show,413,62
2678,TV Show,4,2
2679,Movie,13,6
2680,Movie,20,2
2681,Movie,122,26
2682,Movie,112,19
2683,Movie,26,3
2684,Movie,19,7
2685,TV Show,224,82
2686,Movie,4,1
2687,Movie,37,9
2688,TV Show,68,10
2689,TV Show,5,3
2690,Movie,30,3
2691,Movie,131,27
2692,TV Show,8,1
2693,Movie,7,1
2694,Movie,118,20
2695,Movie,31,4
2696,Movie,23,8
2697,Movie,40,10
2698,Movie,6,2
2699,TV Show,225,83
2700,Movie,40,4
2701,TV Show,17,2
2702,Movie,15,2
2703,Movie,38,5
2704,TV Show,231,84
2705,Movie,136,28
2706,TV Show,417,63
2707,Movie,121,21
2708,TV Show,70,11
2709,TV Show,157,23
2710,TV Show,27,3
2711,Movie,49,5
2712,Movie,23,3
2713,Movie,45,6
2714,TV Show,237,85
2715,Movie,5,1
2716,TV Show,421,64
2717,TV Show,73,12
2718,TV Show,159,24
2719,Movie,137,29
2720,TV Show,37,4
2721,Movie,32,4
2722,Movie,57,6
2723,Movie,12,2
2724,Movie,51,7
2725,TV Show,242,86
2726,TV Show,425,65
2727,TV Show,76,13
2728,TV Show,161,25
2729,TV Show,100,16
2730,TV Show,47,5
2731,Movie,41,5
2732,Movie,20,3
2733,Movie,64,7
2734,TV Show,248,87
2735,TV Show,430,66
2736,Movie,55,8
2737,TV Show,79,14
2738,TV Show,163,26
2739,Movie,1,1
2740,TV Show,57,6
2741,Movie,50,6
2742,Movie,28,4
2743,Movie,71,8
2744,TV Show,254,88
2745,TV Show,435,67
2746,Movie,59,9
2747,TV Show,82,15
2748,TV Show,165,27
2749,TV Show,1,1
2750,TV Show,67,7
2751,Movie,37,5
2752,Movie,58,7
2753,TV Show,7,1
2754,Movie,77,9
2755,TV Show,259,89
2756,TV Show,439,68
2757,Movie,3,1
2758,TV Show,3,2
2759,Movie,2,2
2760,TV Show,237,34
2761,TV Show,76,8
2762,TV Show,15,2
2763,Movie,44,6
2764,Movie,64,8
2765,Movie,82,10
2766,Movie,4,1
2767,Movie,3,1
2768,TV Show,441,69
2769,TV Show,260,90
2770,TV Show,247,35
2771,TV Show,85,9
2772,Movie,12,2
2773,TV Show,22,3
2774,Movie,70,9
2775,Movie,8,2
2776,Movie,48,7
2777,Movie,3,1
2778,TV Show,2,1
2779,TV Show,442,70
2780,TV Show,257,36
2781,TV Show,94,10
2782,Movie,20,3
2783,TV Show,29,4
2784,Movie,14,3
2785,Movie,75,10
2786,Movie,7,2
2787,TV Show,5,2
2788,Movie,50,8
2789,TV Show,443,71
2790,TV Show,267,37
2791,TV Show,103,11
2792,TV Show,37,5
2793,Movie,27,4
2794,Movie,20,4
2795,Movie,80,11
2796,Movie,11,3
2797,TV Show,263,91
2798,TV Show,445,72
2799,TV Show,6,3
2800,TV Show,277,38
2801,TV Show,112,12
2802,TV Show,8,1
2803,TV Show,44,6
2804,Movie,33,5
2805,Movie,85,12
2806,Movie,24,5
2807,Movie,14,4
2808,TV Show,265,92
2809,TV Show,446,73
2810,TV Show,287,39
2811,TV Show,121,13
2812,TV Show,16,2
2813,Movie,92,13
2814,Movie,30,6
2815,TV Show,49,7
2816,Movie,37,6
2817,TV Show,268,93
2818,Movie,16,5
2819,TV Show,1,1
2820,TV Show,131,14
2821,TV Show,296,40
2822,TV Show,24,3
2823,Movie,7,1
2824,Movie,98,14
2825,TV Show,5,1
2826,TV Show,53,8
2827,Movie,33,7
2828,TV Show,3,2
2829,TV Show,269,94
2830,TV Show,141,15
2831,TV Show,305,41
2832,Movie,15,2
2833,TV Show,31,4
2834,Movie,104,15
2835,TV Show,10,2
2836,TV Show,7,3
2837,TV Show,3,1
2838,TV Show,271,95
2839,TV Show,54,9
2840,TV Show,151,16
2841,TV Show,314,42
2842,TV Show,11,2
2843,TV Show,38,5
2844,Movie,110,16
2845,Movie,20,3
2846,TV Show,14,3
2847,TV Show,10,4
2848,TV Show,273,96
2849,Movie,38,7
2850,TV Show,161,17
2851,TV Show,323,43
2852,TV Show,19,3
2853,TV Show,21,4
2854,Movie,116,17
2855,TV Show,43,6
2856,Movie,24,4
2857,TV Show,13,5
2858,TV Show,2,1
2859,TV Show,274,97
2860,TV Show,171,18
2861,TV Show,332,44
2862,TV Show,27,4
2863,TV Show,9,2
2864,Movie,122,18
2865,TV Show,26,5
2866,TV Show,278,98
2867,TV Show,16,6
2868,TV Show,45,7
2869,TV Show,1,1
2870,TV Show,181,19
2871,TV Show,36,5
2872,TV Show,340,45
2873,TV Show,16,3
2874,Movie,128,19
2875,TV Show,283,99
2876,TV Show,30,6
2877,TV Show,19,7
2878,TV Show,3,2
2879,TV Show,46,8
2880,TV Show,191,20
2881,TV Show,45,6
2882,TV Show,8,1
2883,TV Show,347,46
2884,TV Show,22,4
2885,Movie,133,20
2886,TV Show,287,100
2887,TV Show,6,3
2888,TV Show,21,8
2889,TV Show,31,7
2890,TV Show,18,2
2891,TV Show,200,21
2892,TV Show,53,7
2893,TV Show,354,47
2894,TV Show,28,5
2895,Movie,138,21
2896,TV Show,291,101
2897,TV Show,9,4
2898,TV Show,23,9
2899,TV Show,32,8
2900,TV Show,28,3
2901,Movie,9,1
2902,TV Show,208,22
2903,TV Show,60,8
2904,TV Show,34,6
2905,TV Show,359,48
2906,TV Show,4,1
2907,Movie,141,22
2908,TV Show,2,1
2909,TV Show,292,102
2910,Movie,19,2
2911,TV Show,37,4
2912,TV Show,216,23
2913,TV Show,67,9
2914,TV Show,8,2
2915,TV Show,39,7
2916,TV Show,8,2
2917,TV Show,362,49
2918,Movie,143,23
2919,TV Show,293,103
2920,Movie,29,3
2921,TV Show,46,5
2922,TV Show,224,24
2923,TV Show,46,8
2924,TV Show,73,10
2925,TV Show,13,3
2926,TV Show,12,3
2927,TV Show,365,50
2928,TV Show,2,1
2929,Movie,144,24
2930,Movie,39,4
2931,TV Show,55,6
2932,TV Show,232,25
2933,TV Show,20,4
2934,TV Show,52,9
2935,TV Show,7,2
2936,TV Show,77,11
2937,TV Show,15,4
2938,TV Show,367,51
2939,Movie,1,1
2940,TV Show,65,7
2941,Movie,48,5
2942,TV Show,240,26
2943,TV Show,14,3
2944,TV Show,26,5
2945,TV Show,57,10
2946,TV Show,81,12
2947,Movie,4,2
2948,TV Show,369,52
2949,TV Show,16,5
2950,TV Show,75,8
2951,TV Show,249,27
2952,Movie,56,6
2953,TV Show,33,6
2954,TV Show,20,4
2955,TV Show,62,11
2956,TV Show,85,13
2957,Movie,7,3
2958,Movie,2,1
2959,TV Show,370,53
2960,TV Show,259,28
2961,TV Show,84,9
2962,Movie,8,1
2963,Movie,63,7
2964,Movie,8,2
2965,TV Show,38,7
2966,TV Show,66,12
2967,TV Show,23,5
2968,TV Show,87,14
2969,Movie,8,4
2970,TV Show,10,1
2971,Movie,17,3
2972,TV Show,267,29
2973,TV Show,91,10
2974,Movie,14,2
2975,TV Show,96,14
2976,TV Show,42,8
2977,Movie,66,8
2978,TV Show,25,6
2979,TV Show,67,13
2980,TV Show,20,2
2981,Movie,26,4
2982,TV Show,275,30
2983,TV Show,98,11
2984,Movie,20,3
2985,Movie,5,1
2986,TV Show,100,15
2987,Movie,69,9
2988,TV Show,44,9
2989,TV Show,26,7
2990,TV Show,30,3
2991,Movie,35,5
2992,TV Show,283,31
2993,TV Show,105,12
2994,Movie,11,2
2995,Movie,25,4
2996,TV Show,48,10
2997,TV Show,29,8
2998,TV Show,102,16
2999,Movie,9,5
3000,TV Show,40,4
3001,Movie,44,6
3002,TV Show,291,32
3003,Movie,7,1
3004,TV Show,111,13
3005,TV Show,53,11
3006,TV Show,106,17
3007,TV Show,12,5
3008,TV Show,2,1
3009,Movie,10,6
3010,TV Show,50,5
3011,Movie,16,2
3012,TV Show,299,33
3013,Movie,51,7
3014,TV Show,117,14
3015,TV Show,58,12
3016,TV Show,16,6
3017,Movie,13,7
3018,TV Show,4,2
3019,TV Show,294,104
3020,TV Show,60,6
3021,Movie,25,3
3022,TV Show,307,34
3023,Movie,58,8
3024,TV Show,123,15
3025,TV Show,63,13
3026,TV Show,20,7
3027,TV Show,3,1
3028,Movie,15,8
3029,TV Show,295,105
3030,TV Show,70,7
3031,Movie,34,4
3032,TV Show,315,35
3033,Movie,65,9
3034,TV Show,9,2
3035,TV Show,25,8
3036,Movie,19,9
3037,TV Show,66,14
3038,TV Show,297,106
3039,TV Show,124,16
3040,Movie,10,1
3041,TV Show,79,8
3042,TV Show,323,36
3043,Movie,41,5
3044,Movie,6,1
3045,Movie,5,1
3046,TV Show,13,3
3047,Movie,68,10
3048,TV Show,27,9
3049,Movie,20,10
3050,Movie,20,2
3051,Movie,14,2
3052,Movie,14,2
3053,TV Show,330,37
3054,Movie,47,6
3055,TV Show,84,9
3056,TV Show,17,4
3057,Movie,71,11
3058,Movie,22,11
3059,TV Show,28,10
3060,Movie,30,3
3061,Movie,23,3
3062,Movie,22,3
3063,TV Show,337,38
3064,Movie,53,7
3065,TV Show,89,10
3066,TV Show,21,5
3067,Movie,74,12
3068,Movie,24,12
3069,TV Show,29,11
3070,Movie,40,4
3071,TV Show,346,39
3072,Movie,30,4
3073,Movie,30,4
3074,TV Show,95,11
3075,Movie,58,8
3076,TV Show,25,6
3077,TV Show,32,12
3078,TV Show,299,107
3079,TV Show,67,15
3080,TV Show,356,40
3081,Movie,49,5
3082,Movie,38,5
3083,Movie,37,5
3084,TV Show,101,12
3085,TV Show,37,13
3086,TV Show,29,7
3087,TV Show,302,108
3088,Movie,60,9
3089,TV Show,68,16
3090,TV Show,10,1
3091,TV Show,365,41
3092,Movie,45,6
3093,Movie,45,6
3094,TV Show,43,14
3095,Movie,54,6
3096,TV Show,33,8
3097,TV Show,104,13
3098,TV Show,304,109
3099,TV Show,69,17
3100,TV Show,20,2
3101,TV Show,374,42
3102,Movie,8,1
3103,TV Show,50,15
3104,TV Show,310,110
3105,TV Show,38,9
3106,Movie,49,7
3107,Movie,48,7
3108,TV Show,106,14
3109,TV Show,70,18
3110,TV Show,30,3
3111,TV Show,383,43
3112,Movie,8,1
3113,Movie,15,2
3114,TV Show,316,111
3115,TV Show,55,16
3116,TV Show,42,10
3117,Movie,52,8
3118,Movie,50,8
3119,TV Show,71,19
3120,TV Show,40,4
3121,Movie,17,2
3122,TV Show,391,44
3123,TV Show,7,1
3124,Movie,21,3
3125,Movie,57,9
3126,Movie,54,9
3127,TV Show,319,112
3128,TV Show,44,11
3129,TV Show,72,20
3130,TV Show,50,5
3131,TV Show,16,2
3132,Movie,25,3
3133,TV Show,398,45
3134,Movie,27,4
3135,TV Show,324,113
3136,TV Show,59,17
3137,Movie,3,1
3138,TV Show,46,12
3139,Movie,1,1
3140,TV Show,60,6
3141,TV Show,25,3
3142,TV Show,8,1
3143,TV Show,405,46
3144,TV Show,330,114
3145,TV Show,64,18
3146,Movie,4,1
3147,Movie,28,4
3148,Movie,29,5
3149,TV Show,47,13
3150,TV Show,70,7
3151,TV Show,17,2
3152,TV Show,33,4
3153,Movie,11,2
3154,TV Show,411,47
3155,TV Show,335,115
3156,TV Show,68,19
3157,TV Show,50,14
3158,TV Show,74,21
3159,Movie,30,6
3160,TV Show,10,1
3161,TV Show,79,8
3162,TV Show,25,3
3163,TV Show,40,5
3164,Movie,17,3
3165,TV Show,416,48
3166,TV Show,339,116
3167,TV Show,71,20
3168,TV Show,52,15
3169,TV Show,75,22
3170,TV Show,20,2
3171,TV Show,88,9
3172,TV Show,33,4
3173,TV Show,47,6
3174,Movie,23,4
3175,Movie,5,1
3176,TV Show,420,49
3177,TV Show,342,117
3178,TV Show,73,21
3179,Movie,1,1
3180,Movie,10,1
3181,TV Show,29,3
3182,TV Show,41,5
3183,TV Show,95,10
3184,TV Show,53,7
3185,Movie,28,5
3186,Movie,5,2
3187,TV Show,345,118
3188,Movie,7,2
3189,TV Show,421,50
3190,TV Show,39,4
3191,Movie,19,2
3192,TV Show,103,11
3193,TV Show,48,6
3194,Movie,34,6
3195,TV Show,58,8
3196,Movie,9,3
3197,TV Show,424,51
3198,Movie,9,3
3199,TV Show,346,119
3200,TV Show,49,5
3201,Movie,28,3
3202,TV Show,111,12
3203,TV Show,55,7
3204,Movie,40,7
3205,TV Show,63,9
3206,Movie,13,4
3207,Movie,12,4
3208,TV Show,426,52
3209,TV Show,347,120
