,Type,Viewership Score,Days In Top 10
1160,Movie,20,2
1161,TV Show,36,4
1162,TV Show,84,9
1163,TV Show,56,7
1164,Movie,10,2
1165,Movie,7,2
1166,Movie,21,4
1167,TV Show,55,11
1168,Movie,105,13
1169,TV Show,99,16
1170,Movie,30,3
1171,TV Show,45,5
1172,TV Show,64,8
1173,TV Show,91,10
1174,TV Show,6,1
1175,Movie,15,3
1176,Movie,11,3
1177,Movie,108,14
1178,TV Show,101,17
1179,Movie,22,5
1180,Movie,40,4
1181,TV Show,15,2
1182,TV Show,53,6
1183,TV Show,71,9
1184,Movie,21,4
1185,TV Show,96,11
1186,Movie,15,4
1187,TV Show,104,18
1188,TV Show,57,12
1189,TV Show,4,3
1190,Movie,50,5
1191,TV Show,24,3
1192,Movie,29,5
1193,TV Show,78,10
1194,TV Show,102,12
1195,TV Show,58,7
1196,TV Show,4,1
1197,Movie,18,5
1198,TV Show,59,13
1199,TV Show,5,4
1200,TV Show,34,4
1201,Movie,59,6
1202,TV Show,12,2
1203,TV Show,85,11
1204,Movie,35,6
1205,TV Show,107,13
1206,TV Show,62,8
1207,Movie,21,6
1208,TV Show,61,14
1209,TV Show,6,5
1210,TV Show,44,5
1211,Movie,68,7
1212,Movie,43,7
1213,TV Show,92,12
1214,TV Show,18,3
1215,TV Show,112,14
1216,TV Show,4,1
1217,TV Show,65,9
1218,Movie,2,1
1219,TV Show,62,15
1220,TV Show,10,1
1221,TV Show,53,6
1222,Movie,76,8
1223,Movie,50,8
1224,TV Show,98,13
1225,TV Show,23,4
1226,TV Show,116,15
1227,Movie,5,2
1228,TV Show,6,2
1229,TV Show,1,1
1230,TV Show,20,2
1231,TV Show,62,7
1232,Movie,84,9
1233,TV Show,105,14
1234,Movie,56,9
1235,TV Show,28,5
1236,Movie,9,3
1237,TV Show,4,2
1238,TV Show,118,16
1239,TV Show,1,1
1240,TV Show,30,3
1241,TV Show,71,8
1242,Movie,8,1
1243,TV Show,112,15
1244,Movie,90,10
1245,TV Show,6,2
1246,TV Show,8,3
1247,Movie,59,10
1248,TV Show,30,6
1249,TV Show,119,17
1250,TV Show,40,4
1251,TV Show,80,9
1252,TV Show,16,4
1253,TV Show,119,16
1254,TV Show,12,3
1255,Movie,95,11
1256,Movie,4,1
1257,TV Show,3,1
1258,Movie,10,2
1259,Movie,60,11
1260,TV Show,50,5
1261,TV Show,89,10
1262,TV Show,11,2
1263,Movie,7,1
1264,TV Show,22,5
1265,TV Show,124,17
1266,Movie,4,1
1267,TV Show,15,4
1268,Movie,97,12
1269,Movie,5,2
1270,TV Show,60,6
1271,TV Show,98,11
1272,TV Show,8,1
1273,Movie,14,2
1274,TV Show,17,3
1275,Movie,9,2
1276,TV Show,26,6
1277,Movie,3,1
1278,TV Show,126,18
1279,TV Show,16,5
1280,TV Show,70,7
1281,TV Show,17,2
1282,TV Show,8,1
1283,TV Show,105,12
1284,Movie,9,2
1285,Movie,14,3
1286,Movie,18,3
1287,TV Show,20,4
1288,TV Show,28,7
1289,TV Show,127,19
1290,TV Show,80,8
1291,TV Show,26,3
1292,TV Show,16,2
1293,Movie,7,1
1294,TV Show,111,13
1295,TV Show,5,1
1296,TV Show,4,1
1297,Movie,12,3
1298,Movie,16,4
1299,TV Show,128,20
1300,TV Show,90,9
1301,TV Show,35,4
1302,TV Show,24,3
1303,Movie,14,2
1304,TV Show,117,14
1305,TV Show,10,2
1306,TV Show,8,2
1307,Movie,15,4
1308,Movie,18,5
1309,TV Show,129,21
1310,TV Show,100,10
1311,TV Show,44,5
1312,Movie,22,3
1313,TV Show,31,4
1314,TV Show,123,15
1315,TV Show,15,3
1316,TV Show,12,3
1317,Movie,18,5
1318,Movie,20,6
1319,TV Show,130,22
1320,TV Show,110,11
1321,Movie,9,1
1322,TV Show,52,6
1323,Movie,29,4
1324,TV Show,37,5
1325,TV Show,128,16
1326,TV Show,19,4
1327,TV Show,15,4
1328,Movie,20,6
1329,TV Show,1,1
1330,Movie,19,2
1331,TV Show,119,12
1332,TV Show,60,7
1333,TV Show,44,6
1334,Movie,35,5
1335,TV Show,133,17
1336,TV Show,5,2
1337,TV Show,22,5
1338,TV Show,17,5
1339,Movie,21,7
1340,Movie,29,3
1341,TV Show,128,13
1342,TV Show,68,8
1343,TV Show,51,7
1344,TV Show,139,18
1345,Movie,40,6
1346,TV Show,21,6
1347,Movie,24,8
1348,TV Show,24,6
1349,Movie,1,1
1350,Movie,39,4
1351,TV Show,137,14
1352,Movie,9,2
1353,TV Show,75,9
1354,TV Show,57,8
1355,TV Show,144,19
1356,TV Show,4,1
1357,Movie,43,7
1358,TV Show,23,7
1359,Movie,25,9
1360,Movie,10,1
1361,Movie,48,5
1362,TV Show,145,15
1363,Movie,16,3
1364,TV Show,6,1
1365,TV Show,62,9
1366,TV Show,8,2
1367,TV Show,147,20
1368,TV Show,2,1
1369,TV Show,76,10
1370,Movie,20,2
1371,TV Show,15,2
1372,Movie,56,6
1373,TV Show,152,16
1374,Movie,22,4
1375,TV Show,7,2
1376,TV Show,12,3
1377,TV Show,79,11
1378,TV Show,149,21
1379,TV Show,63,10
1380,Movie,30,3
1381,TV Show,24,3
1382,Movie,64,7
1383,TV Show,159,17
1384,TV Show,13,3
1385,Movie,27,5
1386,TV Show,16,4
1387,TV Show,152,22
1388,TV Show,81,12
1389,TV Show,64,11
1390,Movie,40,4
1391,TV Show,33,4
1392,TV Show,167,18
1393,TV Show,20,4
1394,Movie,33,6
1395,Movie,69,8
1396,TV Show,20,5
1397,TV Show,155,23
1398,TV Show,66,12
1399,TV Show,1,1
1400,Movie,50,5
1401,TV Show,42,5
1402,TV Show,175,19
1403,TV Show,27,5
1404,Movie,39,7
1405,Movie,74,9
1406,TV Show,24,6
1407,TV Show,158,24
1408,TV Show,2,1
1409,TV Show,2,2
1410,Movie,60,6
1411,TV Show,51,6
1412,TV Show,183,20
1413,TV Show,34,6
1414,Movie,45,8
1415,TV Show,5,1
1416,Movie,78,10
1417,TV Show,5,2
1418,TV Show,160,25
1419,Movie,1,1
1420,Movie,70,7
1421,TV Show,60,7
1422,TV Show,191,21
1423,TV Show,41,7
1424,TV Show,11,2
1425,Movie,50,9
1426,Movie,5,2
1427,TV Show,8,3
1428,Movie,80,11
1429,TV Show,161,26
1430,TV Show,10,1
1431,Movie,79,8
1432,TV Show,68,8
1433,Movie,12,3
1434,TV Show,197,22
1435,TV Show,16,3
1436,Movie,4,1
1437,Movie,53,10
1438,TV Show,43,8
1439,TV Show,1,1
1440,TV Show,20,2
1441,Movie,88,9
1442,Movie,12,2
1443,Movie,19,4
1444,TV Show,74,9
1445,TV Show,202,23
1446,TV Show,20,4
1447,Movie,56,11
1448,TV Show,2,1
1449,TV Show,2,2
1450,TV Show,30,3
1451,Movie,97,10
1452,Movie,27,5
1453,Movie,19,3
1454,TV Show,208,24
1455,TV Show,79,10
1456,TV Show,24,5
1457,TV Show,5,2
